"1 ""TRAINING SET INDEX"	SMILES	NAME	MW	LogS(mols/L)	REFERENCE	GROUP						
"386 ""386"	S(C)c1[nH0]c([nH0]c([nH0]1)N(C)C)N(C)C	Simetryn	213.35	-2.676	26	TRAIN						
"387 ""387"	O=C(O)/C=CC=C/C	Sorbic acid	112.14	-1.77	25	TRAIN						
"388 ""388"	S(C)C[S]([O-])C[C@H](NC(=O)/C=CC=1C(=O)NC(=O)NC=1C)CO	Sparsomycin	361.49	-1.981	26	TRAIN						
"389 ""389"	N12C[C@H](C[C@H](CN3CCCC[C@@H]33)[C@H]2(CCCC1))3	Sparteine	234.43	-1.89	25	TRAIN						
"390 ""390"	O=C(OCCN(CC)CC)c1ccc(OCCCC)cc1	Stadacaine	293.45	-3.84	25	TRAIN						
"391 ""391"	O=C1CC[C@@](C)([C@@H](CC[C@H]([C@@H](CC[C@H](O)[C@](C)(CC[C@@H]23)4)4)2)C1)3	Stanolone	290.49	-4.743	26	TRAIN						
"392 ""392"	Cl/C=C(O[P]([O-])(OC)OC)/c1cc(Cl)c(Cl)cc1Cl	Stirofos	365.96	-4.522	26	TRAIN						
"393 ""393"	O=C1N2c3ccccc3[C@@](CCN3CC4=CCO[C@H](C1)[C@@H]([C@@H](C[C@H]31)4)[C@H]22)12	Strychnine	334.45	-3.32	25	TRAIN						
"394 ""394"	O=[N]([O-])c1cc([N](=O)[O-])c(O)c([N](=O)[O-])c1O	Styphnic acid	245.11	-1.659	24	TRAIN						
"395 ""395"	O=C(O)CCCCCCC(=O)O	Suberic acid	174.2	-1.293	24	TRAIN						
"396 ""396"	O=C(O)CCC(=O)O	Succinic acid	118.1	-0.2	25	TRAIN						
"397 ""397"	O=C1NC(=O)CC1	Succinimide	99.1	0.3	25	TRAIN						
"398 ""398"	s1cccc1CCN1CCC(N(c2ccccc2)C(=O)CC)(CC1)COC	Sufentanil	386.61	-3.71	25	TRAIN						
"399 ""399"	[S]([O-])([O-])(Nc1[nH0]c(OC)[nH0]c(OC)c1)c1ccc(N)cc1	Sulfadimethoxine	310.37	-2.96	25	TRAIN						
"400 ""400"	s1c([nH0][nH0]c1CC)N[S]([O-])([O-])c1ccc(N)cc1	Sulfaethidole	284.4	-1.94	25	TRAIN						
"401 ""401"	[S]([O-])([O-])(NC(=N)N)c1ccc(N)cc1	Sulfaguanidine	214.28	-1.99	25	TRAIN						
"402 ""402"	[S]([O-])([O-])(Nc1[nH0]ccc([nH0]1)C)c1ccc(N)cc1	Sulfamerazine	264.34	-2.85	25	TRAIN						
"403 ""403"	[S]([O-])([O-])(Nc1[nH0]cc(OC)c[nH0]1)c1ccc(N)cc1	Sulfameter	280.34	-2.58	25	TRAIN						
"404 ""404"	s1c([nH0][nH0]c1C)N[S]([O-])([O-])c1ccc(N)cc1	Sulfamethiazole	270.37	-2.41	25	TRAIN						
"405 ""405"	[S]([O-])([O-])(Nc1[nH0][nH0]c(OC)cc1)c1ccc(N)cc1	Sulfamethoxypyridazine	280.34	-3.28	25	TRAIN						
"406 ""406"	[S]([O-])([O-])(Nc1[nH0]cc(C)c[nH0]1)c1ccc(N)cc1	Sulfaperine	264.34	-2.82	25	TRAIN						
"407 ""407"	[S]([O-])([O-])(Nc1[nH0]([nH0]cc1)c1ccccc1)c1ccc(N)cc1	Sulfaphenazole	314.4	-2.32	25	TRAIN						
"408 ""408"	s1cc[nH0]c1N[S]([O-])([O-])c1ccc(N)cc1	Sulfathiozole	255.35	-2.43	25	TRAIN						
"409 ""409"	[S]([O-])([O-])(Nc1o[nH0]c(C)c1C)c1ccc(N)cc1	Sulfisoxazole	267.34	-2.91	25	TRAIN						
"410 ""410"	[S]([O-])(N(c1o[nH0]c(C)c1C)C(=O)C)c1ccc(N)cc1	Sulfisoxazoleacetyl	293.38	-3.59	26	TRAIN						
"411 ""411"	O=C1NC(=O)C(CC=C)(C(=O)N1)[C@@H](C)CC	Talbutal	224.29	-2.016	26	TRAIN						
"412 ""412"	O(C)c1[nH0]c([nH0]c([nH0]1)NC(C)(C)C)NCC	Terbumeton	225.34	-3.239	26	TRAIN						
"413 ""413"	S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)(C)C)NCC	Terbutryne	241.41	-4	25	TRAIN						
"414 ""414"	O=C1C=C2CC[C@H]([C@@H](CC[C@H](O)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Testosterone	288.47	-4.09	25	TRAIN						
"415 ""415"	O=C1C=C2CC[C@H]([C@@H](CC[C@H](OC(=O)CC)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Testosterone propionate	344.54	-5.37	25	TRAIN						
"416 ""416"	BrC(Br)(Br)Br	Tetrabromomethane	331.61	-3.14	25	TRAIN						
"417 ""417"	CCCCCCCCCCCCCC	Tetradecane	198.44	-7.96	26	TRAIN						
"418 ""418"	O=C(O)CCCCCCCCCCCCC	Tetradecanoic acid	228.42	-5.33	25	TRAIN						
"419 ""419"	Cl/C(=C[C@H]([C@@H](C(=O)OCc1c(F)c(F)c(C)c(F)c1F)C1(C)C)1)/C(F)(F)F	Tetrafluthrin	418.76	-7.321	26	TRAIN						
"420 ""420"	O=C1C=C[C@@H]([C@@H](N(C)CC[C@](C1)(c1c(ccc(OC)c1O)C1)2)1)2	ThebainoneA	299.4	-1.87	25	TRAIN						
"421 ""421"	O=C1NC(=O)c2[nH0](C)c[nH0]c2N1C	Theobromine	180.19	-2.523	26	TRAIN						
"422 ""422"	O=C1N(C)c2[nH0]c[nH]c2C(=O)N1C	Theophylline	180.17	-1.381	24	TRAIN						
"423 ""423"	ClC(Cl)C(=O)N[C@@H](CO)[C@@H](O)c1ccc([S]([O-])([O-])C)cc1	Thiamphenicol	356.25	-2.154	26	TRAIN						
"424 ""424"	S=C1NC(=O)C(CC=C)(C(=O)N1)[C@@H](C)CCC	Thiamylal	254.39	-3.46	25	TRAIN						
"425 ""425"	S(C)CC(=NOC(=O)NC)C(C)(C)C	Thiofanox	218.36	-1.62	25	TRAIN						
"426 ""426"	[S-][P](SCCSCC)(OC)OC	Thiometon	246.39	-3.091	26	TRAIN						
"427 ""427"	s1ccc(c1)C(=O)O	Thiophene-3-carboxylic acid	128.16	-1.47	25	TRAIN						
"428 ""428"	S=C(N)N	Thiourea	76.14	0.32	25	TRAIN						
"429 ""429"	S=C(SSC(=S)N(C)C)N(C)C	Thiram	240.48	-3.9	25	TRAIN						
"430 ""430"	[S]([O-])([O-])(NC(=O)NCCCC)c1ccc(C)cc1	Tolbutamide	270.39	-3.39	25	TRAIN						
"431 ""431"	Cl[C@@H](C(=NOC(=O)NC)[C@H](C[C@H](C[C@H](C#N)1)2)1)2	Tranid	241.7	-2.08	25	TRAIN						
"432 ""432"	Clc1ccc(O[C@H]([nH0]2[nH0]c[nH0]c2)C(=O)C(C)(C)C)cc1	Triadimefon	293.78	-3.61	25	TRAIN						
"433 ""433"	F[C@]([C@H](O)C[C@](C)([C@H](C[C@@H](O)[C@@](O)(C(=O)CO)1)[C@H](CCC2=CC(=O)C=C[C@@](C)22)3)1)32	Triamcinolone	394.48	-3.69	25	TRAIN						
"434 ""434"	F[C@]([C@H](O)C[C@](C)([C@H](C[C@H](OC(O[C@@](C(=O)CO)12)(C)C)1)[C@H](CCC1=CC(=O)C=C[C@@](C)11)3)2)31	Triamcinolone acetonide	434.55	-4.32	25	TRAIN						
"435 ""435"	Nc1[nH0]c(N)c2[nH0]c(c(N)[nH0]c2[nH0]1)c1ccccc1	Triamterene	253.3	-2.404	26	TRAIN						
"436 ""436"	Clc1ccc2[nH0]3c([nH0][nH0]c3C)CN=C(c2c1)c1ccccc1Cl	Triazolam	343.23	-4.08	25	TRAIN						
"437 ""437"	Clc1cc(Cl)c(O[P@]([S-])(OCC)CC)cc1Cl	Trichloronate	333.61	-5.752	26	TRAIN						
"438 ""438"	Clc1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1	Triclosan	289.54	-4.46	25	TRAIN						
"439 ""439"	[P@]([O-])(Oc1ccc(C)cc1)(Oc1cccc(C)c1)Oc1ccccc1C	Tricresylphosphate	368.39	-6.01	26	TRAIN						
"440 ""440"	S1c2cccc(C)c2[nH0]2c[nH0][nH0]c12	Tricyclazole	189.26	-2.07	25	TRAIN						
"441 ""441"	FC(F)(F)c1ccccc1C(=O)O	Trifluoro-o-toluic acid	190.13	-1.6	25	TRAIN						
"442 ""442"	ClC(Cl)(Cl)[C@H](NC=O)N1CCN(CC1)[C@@H](NC=O)C(Cl)(Cl)Cl	Triforine	434.98	-4.19	25	TRAIN						
"443 ""443"	O=C(OCC(O)(C)C)N1CCN(CC1)c1[nH0]c(N)c2cc(OC)c(OC)c(OC)c2[nH0]1	Trimazosin	435.54	-3.638	26	TRAIN						
"444 ""444"	O(C)c1cc(cc(OC)c1OC)Cc1c[nH0]c(N)[nH0]c1N	Trimethoprim	290.36	-2.86	25	TRAIN						
"445 ""445"	c1ccc2c(c1)c1ccccc1c1ccccc21	Triphenylene	228.3	-6.74	25	TRAIN						
"446 ""446"	OC[C@@H](O[C@H]([nH0]1ccc2c1[nH0]c[nH0]c2N)[C@H](O)[C@H](O)1)1	Tubercidin	266.29	-1.95	25	TRAIN						
"447 ""447"	O=C1NC=CC(=O)N1	Uracil	112.1	-1.48	25	TRAIN						
"448 ""448"	O=C(O)/C=Cc1[nH0]c[nH]c1	Urocanic acid	138.14	-1.96	25	TRAIN						
"449 ""449"	S([P]([O-])(OC)OC)CCS[C@H](C)C(=O)NC	Vamidothion	287.38	1.144	26	TRAIN						
"450 ""450"	O=C(O)c1ccc(O)c(OC)c1	Vanillic acid	168.16	-2.05	25	TRAIN						
"451 ""451"	Clc1cc(Cl)cc(N2C(=O)O[C@](C)(C=C)C2=O)c1	Vinclozolin	286.12	-4.925	26	TRAIN						
"452 ""452"	O=C(O)CCCCCCCCCCC	Vulvic acid	200.36	-4.62	25	TRAIN						
"453 ""453"	O=C1Oc2ccccc2C(O)=C1[C@@H](CC(=O)C)c1ccccc1	Warfarin	308.35	-3.89	25	TRAIN						
"454 ""454"	Clc1cc(O)c(cc1[S]([O-])([O-])N)C(=O)Nc1c(C)cccc1C	Xipamide	354.84	-3.79	25	TRAIN						
"455 ""455"	Ic1cccc(c1)C(=O)O	m-Iodobenzoic acid	248.02	-3.27	25	TRAIN						
"456 ""456"	Clc1cccc(c1)C(=O)O	m-chlorobenzoic acid	156.57	-2.59	25	TRAIN						
"457 ""457"	O=[N]([O-])c1cccc(c1)C(=O)O	m-nitrobenzoic acid	167.12	-1.738	24	TRAIN						
"458 ""458"	O=C(O)c1cccc(C)c1	m-toluic acid	136.16	-2.14	25	TRAIN						
"459 ""459"	O=C(O)c1ccccc1NC	n-Methylanthranilic acid	151.18	-2.88	25	TRAIN						
"460 ""460"	[S]([O-])([O-])(N)c1ccc(NC(=O)C)cc1	n-acetylsulfanilamide	214.27	-1.61	25	TRAIN						
"461 ""461"	O=C(O)CNC(=O)CN	n-glycylglycine	132.12	0.127	24	TRAIN						
"462 ""462"	O=C1N(C)C=CC=C1	n-methyl-2-pyridone	109.14	0.96	25	TRAIN						
"463 ""463"	O=C(N(C)c1ccccc1)C	n-methylacetanilide	149.21	-0.95	25	TRAIN						
"464 ""464"	O=C(N)NC	n-methylurea	74.1	1.13	25	TRAIN						
"465 ""465"	Ic1ccccc1C(=O)O	o-Iodobenzoic acid	248.02	-2.73	25	TRAIN						
"466 ""466"	O=C(OCc1ccccc1)N	o-benzyl carbamate	151.18	-0.35	25	TRAIN						
"467 ""467"	Oc1ccccc1C	o-cresol	108.15	-0.62	25	TRAIN						
"468 ""468"	O=C(OCC(C)C)N	o-isobutyl carbamate	117.17	-0.3	25	TRAIN						
"469 ""469"	O=[N]([O-])c1ccccc1C(=O)O	o-nitrobenzoic acid	167.12	-1.353	24	TRAIN						
"470 ""470"	O=C(OC(C)(C)C)N	o-t-butyl carbamate	117.17	0.1	25	TRAIN						
"471 ""471"	O=C(CC)c1ccc(N)cc1	p-Aminopropiophenone	149.21	-2.63	25	TRAIN						
"472 ""472"	Ic1ccc(Br)cc1	p-Bromoiodobenzene	282.9	-4.56	26	TRAIN						
"473 ""473"	Clc1ccc([N](=O)[O-])cc1	p-Chloronitrobenzene	157.56	-2.92	26	TRAIN						
"474 ""474"	Brc1ccc(N)cc1[S]([O-])([O-])O	p-bromoaniline-m-sulphonic acid	252.09	-1.389	24	TRAIN						
"475 ""475"	Clc1ccc(cc1)C(=O)O	p-chlorobenzoic acid	156.57	-3.31	25	TRAIN						
"476 ""476"	Oc1ccc(C)cc1	p-cresol	108.15	-0.7	25	TRAIN						
"477 ""477"	O=Cc1ccc(O)cc1	p-hydroxybenzaldehyde	122.13	-0.96	25	TRAIN						
"478 ""478"	O=C(O)c1ccc(O)cc1	p-hydroxybenzoic acid	138.13	-1.41	25	TRAIN						
"479 ""479"	OCc1ccc(C)cc1	p-methylbenzyl alcohol	122.18	-1.2	25	TRAIN						
"480 ""480"	O=[N]([O-])c1ccc(N)cc1	p-nitroaniline	138.13	-2.376	24	TRAIN						
"481 ""481"	Oc1ccc(cc1)c1ccccc1	p-phenylphenol	170.22	-3.48	25	TRAIN						
"482 ""482"	Oc1ccc(cc1)C(C)(C)C	p-t-butylphenol	150.24	-2.41	25	TRAIN						
"483 ""483"	c1ccc(cc1)c1ccc(cc1)c1ccccc1	p-terphenyl	230.32	-7.11	25	TRAIN						
"484 ""484"	Brc1cccc(Br)c1Br	1,2,3-tribromobenzene	314.79	-5.04	25	TRAIN						
"485 ""485"	Brc1cc(Br)c(Br)cc1Br	1,2,4,5-Tetrabromobenzene	393.68	-6.98	26	TRAIN						
"486 ""486"	Brc1ccc(Br)c(Br)c1	1,2,4-tribromobenzene	314.79	-4.5	25	TRAIN						
"487 ""487"	Nc1ccccc1N	1,2-benzenediamine	108.16	-0.42	25	TRAIN						
"488 ""488"	Oc1ccccc1O	1,2-benzenediol	110.12	0.62	25	TRAIN						
"489 ""489"	ClN1C(=O)N(Cl)C(C)(C)C1=O	1,3-Dichloro-5,5-dimethylhydantoin	197.03	-2.6	25	TRAIN						
"490 ""490"	Oc1cccc(O)c1	1,3-benzenediol	110.12	0.81	25	TRAIN						
"491 ""491"	S=C(NCC)NCC	1,3-diethylthiourea	132.26	-1.46	25	TRAIN						
"492 ""492"	Cc1ccc(C)c2c(C)cccc12	1,4,5-trimethylnaphthalene	170.27	-4.92	25	TRAIN						
"493 ""493"	Nc1ccc(N)cc1	1,4-benzenediamine	108.16	-0.38	25	TRAIN						
"494 ""494"	Brc1ccc(Br)cc1	1,4-dibromobenzene	235.9	-4.07	25	TRAIN						
"495 ""495"	Cc1cccc2c(C)cccc12	1,5-dimethylnaphthalene	156.24	-4.74	25	TRAIN						
"496 ""496"	[nH0]1cc[nH0]c2c1ccc1ccccc12	1,7-phenantroline	180.22	-2.68	25	TRAIN						
"497 ""497"	O=C(N)NC(=O)C	1-Acetylurea	102.11	-0.9	25	TRAIN						
"498 ""498"	Oc1c2ccccc2cc2ccccc21	1-Anthranol	194.24	-4.73	25	TRAIN						
"499 ""499"	ClC1=C(Cl)[C@@](Cl)([C@H]([C@H](C=C[C@H](O)2)[C@](Cl)1(C1(Cl)Cl))2)1	1-Hydroxychlordene	354.86	-5.46	25	TRAIN						
"500 ""500"	Cc1cccc2c1ccc1ccccc12	1-Methylphenanthrene	192.27	-5.85	26	TRAIN						
"501 ""501"	Cc1cccc2c3ccccc3Cc21	1-methylfluorene	180.26	-5.22	25	TRAIN						
"502 ""502"	O=C1NC(=O)C=CN1C	1-methyluracil	126.13	-0.8	25	TRAIN						
"503 ""503"	O=C(O)Cc1cccc2ccccc21	1-naphthaceneacetic acid	186.22	-2.65	25	TRAIN						
"504 ""504"	S=C=Nc1cccc2ccccc12	1-naphthyl isothiocyanate	185.26	-4.6	25	TRAIN						
"505 ""505"	O=[N]([O-])c1cccc2ccccc12	1-nitronaphthalene	173.18	-3.54	25	TRAIN						
"506 ""506"	O=NN(C)C(=O)N	1-nitroso-1-methylurea	103.1	-0.85	25	TRAIN						
"507 ""507"	O=C(O)CCCCCCCCCCN	11-Aminoundecanoic acid	201.35	-2.7	25	TRAIN						
"508 ""508"	[nH]1c2c(ccc3ccccc23)c2ccc3ccccc3c12	13H-dibenzo(a,i)carbazole	267.34	-7.42	25	TRAIN						
"509 ""509"	O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	17-a-hydroxyprogesterone	330.51	-4.71	25	TRAIN						
"510 ""510"	O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	17-methyltestosterone	302.5	-3.99	25	TRAIN						
"511 ""511"	Clc1cc(Cl)c(c(Cl)c1)c1c(Cl)cccc1Cl	2,2,4,6,6?-PCB	326.42	-7.32	25	TRAIN						
"512 ""512"	O=C(OCC(C)(COC(=O)N)CCC)N	2,2-di(carbamoyloxymethyl) pentane	218.25	-1.699	24	TRAIN						
"513 ""513"	OCC(C)(C)C	2,2-dimethyl-1-propanol	88.17	-0.4	25	TRAIN						
"514 ""514"	Clc1ccc(c(Cl)c1Cl)c1c(Cl)cc(Cl)c(Cl)c1Cl	2,2?,3,3?,4,4?,6-PCB	395.3	-8.3	25	TRAIN						
"515 ""515"	Clc1cc(Cl)c(Cl)c(c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	2,2?,3,3?,4,5,5?,6,6?-PCB	464.18	-10.41	25	TRAIN						
"516 ""516"	Clc1cccc(c1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl	2,2?,3,3?,4,5-PCB	360.86	-8.42	25	TRAIN						
"517 ""517"	Clc1ccc(cc1Cl)c1ccc(Cl)c(Cl)c1Cl	2,2?,3,3?,4-PCB	326.42	-7.05	25	TRAIN						
"518 ""518"	Clc1cc(Cl)c(Cl)c(c1Cl)c1c(Cl)c(Cl)cc(Cl)c1Cl	2,2?,3,3?,5,5?,6,6?-PCB	429.74	-9.15	25	TRAIN						
"519 ""519"	Clc1cc(Cl)c(Cl)c(c1)c1cc(Cl)c(Cl)cc1Cl	2,2?,3,3?,5?,6-PCB	360.86	-8.6	25	TRAIN						
"520 ""520"	Clc1cc(Cl)c(cc1Cl)c1c(Cl)ccc(Cl)c1Cl	2,2?,3,3?,6,6?-PCB	360.86	-8.65	25	TRAIN						
"521 ""521"	Clc1cccc(c1Cl)c1cccc(Cl)c1Cl	2,2?,3,3?-PCB	291.98	-7.28	25	TRAIN						
"522 ""522"	Clc1cc(Cl)c(cc1Cl)c1c(Cl)cc(Cl)c(Cl)c1Cl	2,2?,3,4,4?,5?,6-PCB	395.3	-7.92	25	TRAIN						
"523 ""523"	Clc1ccc(Cl)c(c1)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	2,2?,3,4,5,5?,6-PCB	395.3	-8.94	25	TRAIN						
"524 ""524"	Clc1ccc(Cl)c(c1)c1cc(Cl)c(Cl)c(Cl)c1Cl	2,2?,3,4,5,5?-PCB	360.86	-7.68	25	TRAIN						
"525 ""525"	Clc1cc(c(Cl)c(Cl)c1Cl)c1ccccc1Cl	2,2?,3,4,5-PCB	326.42	-7.21	25	TRAIN						
"526 ""526"	Clc1ccc(Cl)c(c1)c1ccc(Cl)c(Cl)c1Cl	2,2?,3,4,5?-PCB	326.42	-7.91	25	TRAIN						
"527 ""527"	Clc1ccc(Cl)c(c1)c1c(Cl)c(Cl)cc(Cl)c1Cl	2,2?,3,5,5?,6-PCB	360.86	-7.42	25	TRAIN						
"528 ""528"	Clc1cc(Cl)c(c(Cl)c1)c1cc(Cl)cc(Cl)c1Cl	2,2?,4,4?,6,6?-PCB	360.86	-8.71	25	TRAIN						
"529 ""529"	Clc1ccc(c(Cl)c1)c1ccc(Cl)cc1Cl	2,2?,4,4?-PCB	291.98	-6.51	25	TRAIN						
"530 ""530"	Clc1cc(Cl)c(cc1Cl)c1cc(Cl)c(Cl)cc1Cl	2,2?,4,4?5,5?-PCB	360.86	-8.56	25	TRAIN						
"531 ""531"	Clc1ccc(c(Cl)c1)c1cc(Cl)ccc1Cl	2,2?,4,5?-PCB	291.98	-6.57	25	TRAIN						
"532 ""532"	Clc1ccc(Cl)c(c1)c1cc(Cl)ccc1Cl	2,2?,5,5?-PCB	291.98	-7	25	TRAIN						
"533 ""533"	Clc1ccc(Cl)c(c1)c1c(Cl)cccc1Cl	2,2?,5,6?-PCB	291.98	-6.8	25	TRAIN						
"534 ""534"	Clc1ccc(Cl)c(c1)c1ccccc1Cl	2,2?,5-PCB	257.54	-6.02	25	TRAIN						
"535 ""535"	Clc1cccc(Cl)c1c1c(Cl)cccc1Cl	2,2?,6,6?-PCB	291.98	-7.39	25	TRAIN						
"536 ""536"	Clc1ccccc1c1ccccc1Cl	2,2?-PCB	223.1	-5.27	25	TRAIN						
"537 ""537"	Clc1ccc(c(Cl)c1)c1cc(Cl)c(Cl)c(Cl)c1Cl	2,3',4,4',5-PCB	360.86	-7.39	26	TRAIN						
"538 ""538"	Clc1ccc(c(Cl)c1)c1ccc(Cl)c(Cl)c1Cl	2,3',4,4'-PCB	326.42	-7.8	26	TRAIN						
"539 ""539"	OC(C)(C)C(C)(C)C	2,3,3-trimethyl-2-butanol	116.23	-0.72	25	TRAIN						
"540 ""540"	Clc1ccc(cc1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl	2,3,3?,4,4?,5-PCB	360.86	-7.82	25	TRAIN						
"541 ""541"	Clc1ccc(cc1Cl)c1c(Cl)cc(Cl)c(Cl)c1Cl	2,3,3?,4,4?6-PCB	360.86	-7.66	25	TRAIN						
"542 ""542"	Clc1c(Cl)c(Cl)c(c2ccccc2)c(Cl)c1Cl	2,3,4,5,6-PCB	326.42	-7.92	25	TRAIN						
"543 ""543"	Clc1cc(Cl)c(O)c(Cl)c1Cl	2,3,4,6-Tetrachlorophenol	231.88	-3.1	26	TRAIN						
"544 ""544"	Clc1ccc(cc1)c1cccc(Cl)c1Cl	2,3,4?-PCB	257.54	-6.26	25	TRAIN						
"545 ""545"	Clc1cc(Cl)c(Cl)c(O)c1Cl	2,3,5,6-Tetrachlorophenol	231.88	-3.37	26	TRAIN						
"546 ""546"	Clc1ccc(Cl)c(c2ccccc2)c1Cl	2,3,6-PCB	257.54	-6.29	25	TRAIN						
"547 ""547"	Clc1ccc(cc1Cl)c1cc(Cl)c(Cl)cc1Cl	2,3?,4,4?,5-PCB	326.42	-7.39	25	TRAIN						
"548 ""548"	Clc1ccc(Cl)c(c1)c1ccc(Cl)c(Cl)c1	2,3?,4?,5-PCB	291.98	-7.25	25	TRAIN						
"549 ""549"	Clc1cccc(c1)c1cc(Cl)ccc1Cl	2,3?,5-PCB	257.54	-6.01	25	TRAIN						
"550 ""550"	Clc1ccc(cc1)c1ccc(Cl)cc1Cl	2,4,4?-PCB	257.54	-6.21	25	TRAIN						
"551 ""551"	Clc1cc(Cl)c(cc1Cl)c1ccccc1	2,4,5-PCB	257.54	-6.27	25	TRAIN						
"552 ""552"	Clc1cc(Cl)c(O)cc1Cl	2,4,5-trichlorophenol	197.44	-2.21	25	TRAIN						
"553 ""553"	Clc1cc(Cl)c(OCC(=O)O)cc1Cl	2,4,5-trichlorophenoxyacetic acid	255.49	-2.965	24	TRAIN						
"554 ""554"	Clc1cc(Cl)c(c(Cl)c1)c1ccccc1	2,4,6-PCB	257.54	-6.14	25	TRAIN						
"555 ""555"	[nH0]1c(C)cc(C)c2ccccc12	2,4-Dimethylquinoline	157.23	-1.94	25	TRAIN						
"556 ""556"	Clc1ccc(O)c(Cl)c1	2,4-dichlorophenol	163	-1.55	25	TRAIN						
"557 ""557"	Clc1ccc(OCC(=O)O)c(Cl)c1	2,4-dichlorophenoxyacetic acid	221.04	-2.507	24	TRAIN						
"558 ""558"	Clc1ccc(cc1)c1cc(Cl)ccc1Cl	2,4?,5-PCB	257.54	-6.25	25	TRAIN						
"559 ""559"	Clc1ccc(cc1)c1ccccc1Cl	2,4?-PCB	223.1	-5.28	25	TRAIN						
"560 ""560"	O=C(O)c1[nH0]cc(cc1)C(=O)O	2,5-Pyridinedicarboxylic acid	167.12	-2.14	24	TRAIN						
"561 ""561"	O=C1C=CC(=O)C=C1	2,5-cyclohexadiene-1,4-dione	108.1	-0.99	25	TRAIN						
"562 ""562"	Clc1cccc(Cl)c1C#N	2,6-dichlorobenzonitrile	172.01	-4.24	25	TRAIN						
"563 ""563"	Clc1cccc(Cl)c1CO	2,6-dichlorobenzyl alcohol	177.03	-2.1	25	TRAIN						
"564 ""564"	Cc1ccc2cc(C)ccc2c1	2,6-dimethylnaphthalene	156.24	-4.89	25	TRAIN						
"565 ""565"	[nH0]1c(C)ccc2ccc(C)cc12	2,7-Dimethylquinoline	157.23	-1.94	25	TRAIN						
"566 ""566"	Oc1[nH0]c2ccccc2c(O)c1	2-(1H)quinolinone	161.17	-2.14	25	TRAIN						
"567 ""567"	Clc1ccc(O[C@H](C)C(=O)O)c(C)c1	2-(2-Methyl-4-chlorophenoxy) propionicacid	214.65	-2.38	24	TRAIN						
"568 ""568"	s1c2cc(C)ccc2[nH0]c1c1ccc(N)cc1	2-(4-Aminophenyl)-6-methylbenzothiazole	240.35	-3.68	25	TRAIN						
"569 ""569"	Clc1ccccc1OC	2-Chloroanisole	142.59	-2.46	26	TRAIN						
"570 ""570"	Clc1ccccc1OCC(=O)O	2-Chlorophenoxyacetic acid	186.6	-2.16	25	TRAIN						
"571 ""571"	OC[C@@H](CC)[C@H](O)CCC	2-Ethyl-1,3-hexanediol	146.26	-0.54	25	TRAIN						
"572 ""572"	Oc1[nH0]cccc1	2-Hydroxypyridine	95.11	1.02	25	TRAIN						
"573 ""573"	O(C)c1[nH0]c[nH0]c2[nH0]cc[nH0]c12	2-Methoxypteridine	162.17	-1.11	25	TRAIN						
"574 ""574"	Cc1ccc2c(ccc3ccccc32)c1	2-Methylphenanthrene	192.27	-5.84	26	TRAIN						
"575 ""575"	Oc1ccccc1N	2-aminophenol	109.14	-0.72	25	TRAIN						
"576 ""576"	s1cc[nH0]c1N	2-aminothiazole	100.16	-0.36	25	TRAIN						
"577 ""577"	Brc1ccc2ccccc2c1	2-bromonaphthalene	207.07	-4.4	25	TRAIN						
"578 ""578"	Clc1ccccc1NC(=O)C	2-chloroacetanilide	169.62	-1.4	25	TRAIN						
"579 ""579"	Clc1ccccc1c1ccccc1	2-chlorobiphenyl	188.66	-4.54	25	TRAIN						
"580 ""580"	O=C1NC(=O)[C@@](CC1)(CC)c1ccccc1	2-ethyl-2-phenylgluterimide	217.29	-2.34	25	TRAIN						
"581 ""581"	CCc1ccc2cc3ccccc3cc2c1	2-ethylanthracene	206.3	-6.89	25	TRAIN						
"582 ""582"	O=C(O)c1occc1	2-furoic acid	112.09	-0.48	25	TRAIN						
"583 ""583"	O=C(Nc1ccccc1O)C	2-hydroxyacetanilide	151.18	-2.24	25	TRAIN						
"584 ""584"	O=C(N)c1ccccc1O	2-hydroxybenzoicacidamide	137.14	-1.772	24	TRAIN						
"585 ""585"	Sc1sc2ccccc2[nH0]1	2-mercaptobenzothiazole	167.27	-3.18	25	TRAIN						
"586 ""586"	Cc1ccc2cc3ccccc3cc2c1	2-methylanthracene	192.27	-6.96	25	TRAIN						
"587 ""587"	Cc1ccc2ccccc2c1	2-methylnaphthalene	142.21	-3.77	25	TRAIN						
"588 ""588"	Oc1ccc2ccccc2c1	2-naphthol	144.18	-2.28	25	TRAIN						
"589 ""589"	O=[N]([O-])c1ccccc1N	2-nitroaniline	138.14	-1.96	25	TRAIN						
